x,y,species cloglog values
226.0,226.0,0.15002552
227.0,227.0,0.11859261
228.0,228.0,0.019247636
229.0,229.0,0.123596705
230.0,230.0,0.045540474
231.0,231.0,0.25247273
232.0,232.0,0.013754906
233.0,233.0,0.14482836
234.0,234.0,0.685371
235.0,235.0,0.002528211
236.0,236.0,0.029427795
237.0,237.0,0.004990966
238.0,238.0,0.03330808
239.0,239.0,0.10119106
240.0,240.0,0.105063826
241.0,241.0,0.5544022
242.0,242.0,0.038871087
243.0,243.0,0.23975065
244.0,244.0,0.001697246
245.0,245.0,0.14968441
246.0,246.0,0.012710669
247.0,247.0,0.17645152
248.0,248.0,0.10499478
249.0,249.0,0.23727968
250.0,250.0,0.3512521
251.0,251.0,0.016276924
252.0,252.0,0.018455716
253.0,253.0,0.027932793
254.0,254.0,0.30867013
255.0,255.0,0.5090552
256.0,256.0,0.14307798
257.0,257.0,0.26751968
258.0,258.0,0.021383142
259.0,259.0,0.1555499
260.0,260.0,0.1770536
261.0,261.0,0.20167725
262.0,262.0,0.34830105
263.0,263.0,0.0033104636
264.0,264.0,0.046664633
265.0,265.0,0.3579209
266.0,266.0,0.1164739
267.0,267.0,0.078882314
268.0,268.0,0.07367039
269.0,269.0,0.07312841
270.0,270.0,0.16646098
271.0,271.0,0.11462337
272.0,272.0,0.012108813
273.0,273.0,0.078885764
274.0,274.0,0.3091404
275.0,275.0,0.04657188
276.0,276.0,0.608942
277.0,277.0,0.07731478
278.0,278.0,0.5875914
279.0,279.0,0.15971062
280.0,280.0,0.003868926
281.0,281.0,0.12656574
282.0,282.0,0.14663294
283.0,283.0,0.014994161
284.0,284.0,0.008513309
285.0,285.0,0.11277316
286.0,286.0,0.4778441
287.0,287.0,0.00902332
288.0,288.0,0.13703988
289.0,289.0,0.05522151
290.0,290.0,0.39514962
291.0,291.0,0.32979408
292.0,292.0,0.20537955
293.0,293.0,0.0016698169
294.0,294.0,0.024790332
295.0,295.0,0.030402578
296.0,296.0,0.071266964
297.0,297.0,0.6230044
298.0,298.0,0.05600131
299.0,299.0,0.07633251
300.0,300.0,0.06098684
301.0,301.0,0.0026838493
302.0,302.0,0.13080835
303.0,303.0,0.0088250255
304.0,304.0,0.12162673
305.0,305.0,0.51483613
306.0,306.0,0.073261574
307.0,307.0,0.09148761
308.0,308.0,0.032307487
309.0,309.0,0.07172407
310.0,310.0,0.72102475
311.0,311.0,0.0409387
312.0,312.0,0.73191893
313.0,313.0,0.11693006
314.0,314.0,0.039511878
315.0,315.0,0.11168811
316.0,316.0,0.0059998566
317.0,317.0,5.0067645E-4
318.0,318.0,0.15722354
319.0,319.0,0.20502159
320.0,320.0,0.47855866
321.0,321.0,0.0016837528
322.0,322.0,0.23300564
323.0,323.0,0.09368446
324.0,324.0,0.022598572
325.0,325.0,0.19029345
326.0,326.0,0.05088246
327.0,327.0,0.074739486
328.0,328.0,0.14230509
329.0,329.0,0.080230586
330.0,330.0,0.006261684
331.0,331.0,0.045722615
332.0,332.0,0.04433657
333.0,333.0,0.055218827
334.0,334.0,0.10395531
335.0,335.0,0.27344558
336.0,336.0,0.17918535
337.0,337.0,0.063361935
338.0,338.0,0.037376992
339.0,339.0,0.10180011
340.0,340.0,0.07033802
341.0,341.0,0.0044590584
342.0,342.0,0.03739771
343.0,343.0,0.4654558
344.0,344.0,0.011268168
345.0,345.0,0.15610465
346.0,346.0,0.0585408
347.0,347.0,0.15373126
348.0,348.0,0.14966632
349.0,349.0,0.0050098393
350.0,350.0,0.0036060924
351.0,351.0,0.07294467
352.0,352.0,0.21792829
353.0,353.0,0.019784894
354.0,354.0,0.0036650414
355.0,355.0,0.13123266
356.0,356.0,0.07426569
357.0,357.0,0.099411674
358.0,358.0,0.058190186
359.0,359.0,0.03077758
360.0,360.0,0.0039318227
361.0,361.0,0.051729724
362.0,362.0,0.02567704
363.0,363.0,0.05243437
364.0,364.0,0.28011605
365.0,365.0,0.021874588
366.0,366.0,0.44994745
367.0,367.0,0.028651237
368.0,368.0,0.0114528425
369.0,369.0,0.12484431
370.0,370.0,0.074315764
371.0,371.0,0.039510816
372.0,372.0,0.11532421
373.0,373.0,0.09823188
374.0,374.0,0.31190395
375.0,375.0,0.08469022
376.0,376.0,0.15346491
377.0,377.0,0.08216951
378.0,378.0,0.19123338
379.0,379.0,0.60162157
380.0,380.0,0.4081788
381.0,381.0,0.15229745
382.0,382.0,0.04804424
383.0,383.0,0.38518813
384.0,384.0,0.02915621
385.0,385.0,0.17772776
386.0,386.0,0.1777631
387.0,387.0,0.039156687
388.0,388.0,0.19095512
389.0,389.0,0.071140625
390.0,390.0,0.09059372
391.0,391.0,0.09633273
392.0,392.0,0.112206884
393.0,393.0,0.16067731
394.0,394.0,0.007074501
395.0,395.0,0.0023069966
396.0,396.0,0.599818
397.0,397.0,0.0663047
398.0,398.0,0.03013069
399.0,399.0,0.0036348389
400.0,400.0,0.006316584
401.0,401.0,0.06386738
402.0,402.0,0.20390321
403.0,403.0,0.057365242
404.0,404.0,0.0025742194
405.0,405.0,0.51984847
406.0,406.0,0.1914542
407.0,407.0,0.06032655
408.0,408.0,0.3225185
409.0,409.0,0.00774564
410.0,410.0,0.4894954
411.0,411.0,0.17046648
412.0,412.0,0.07526962
413.0,413.0,0.03827579
414.0,414.0,0.19593643
415.0,415.0,0.0030843497
416.0,416.0,0.40347862
417.0,417.0,0.017736841
418.0,418.0,0.39385512
419.0,419.0,0.0048131957
420.0,420.0,0.12441639
421.0,421.0,0.27879846
422.0,422.0,0.00734756
423.0,423.0,0.15364623
424.0,424.0,0.2360776
425.0,425.0,3.3219645E-4
426.0,426.0,0.07511956
427.0,427.0,0.0032181027
428.0,428.0,0.065790646
429.0,429.0,0.040732592
430.0,430.0,0.10292097
431.0,431.0,0.09229047
432.0,432.0,0.5028512
433.0,433.0,0.048041064
434.0,434.0,0.1474083
435.0,435.0,0.1820897
436.0,436.0,0.06353107
437.0,437.0,0.6713216
438.0,438.0,0.0065441164
439.0,439.0,0.011544906
440.0,440.0,0.1873015
441.0,441.0,0.023885
442.0,442.0,0.0053985696
443.0,443.0,0.34174472
444.0,444.0,0.48738512
445.0,445.0,0.13624147
446.0,446.0,0.16193488
447.0,447.0,0.18691106
448.0,448.0,0.06617417
449.0,449.0,0.042149916
450.0,450.0,0.0031245106
451.0,451.0,0.31510806
452.0,452.0,0.08675612
453.0,453.0,0.019876145
454.0,454.0,0.100336656
455.0,455.0,0.03127559
456.0,456.0,0.08588917
457.0,457.0,0.039546568
458.0,458.0,0.10430742
459.0,459.0,0.38140315
460.0,460.0,0.008782256
461.0,461.0,0.4494227
462.0,462.0,0.081380546
463.0,463.0,0.030539032
464.0,464.0,0.17906223
465.0,465.0,0.031200403
466.0,466.0,0.053109817
467.0,467.0,0.016566245
468.0,468.0,0.06992974
469.0,469.0,0.26083523
470.0,470.0,0.4476505
471.0,471.0,0.25972092
472.0,472.0,0.023052126
473.0,473.0,0.0012339933
